team_name,league,country,coach_name,staff_url,staff_dob,staff_nationality,staff_nationality_secondary,appointed,end_date,days_in_post,matches,wins,draws,losses
Manchester City,Premier League,England,Pep Guardiola,https://www.transfermarkt.com/pep-guardiola/profil/trainer/5672,"Jan 18, 1971",Spain,,2016-07-01,,2777,448,331,53,64
Liverpool,Premier League,England,Jürgen Klopp,https://www.transfermarkt.com/jurgen-klopp/profil/trainer/118,"Jun 16, 1967",Germany,,2015-10-08,2024-06-30,3188,467,290,96,81
Chelsea,Premier League,England,Graham Potter,https://www.transfermarkt.com/graham-potter/profil/trainer/23954,"May 20, 1975",England,,2022-09-08,2023-04-02,206,31,12,8,11
Chelsea,Premier League,England,Thomas Tuchel,https://www.transfermarkt.com/thomas-tuchel/profil/trainer/7471,"Aug 29, 1973",Germany,,2021-01-26,2022-09-07,589,100,63,19,18
Chelsea,Premier League,England,Frank Lampard,https://www.transfermarkt.com/frank-lampard/profil/trainer/60805,"Jun 20, 1978",England,,2019-07-04,2021-01-25,571,84,44,15,25
Chelsea,Premier League,England,Maurizio Sarri,https://www.transfermarkt.com/maurizio-sarri/profil/trainer/10073,"Jan 10, 1959",Italy,,2018-07-14,2019-06-30,351,63,40,11,12
Chelsea,Premier League,England,Antonio Conte,https://www.transfermarkt.com/antonio-conte/profil/trainer/3517,"Jul 31, 1969",Italy,,2016-07-01,2018-07-13,742,106,70,15,21
Tottenham,Premier League,England,Antonio Conte,https://www.transfermarkt.com/antonio-conte/profil/trainer/3517,"Jul 31, 1969",Italy,,2021-11-02,2023-03-26,509,76,41,12,23
Tottenham,Premier League,England,Nuno Espírito Santo,https://www.transfermarkt.com/nuno-espirito-santo/profil/trainer/16520,"Jan 25, 1974",Portugal,Sao Tome and Principe,2021-07-01,2021-11-01,123,17,9,1,7
Tottenham,Premier League,England,José Mourinho,https://www.transfermarkt.com/jose-mourinho/profil/trainer/781,"Jan 26, 1963",Portugal,,2019-11-20,2021-04-19,516,86,45,17,24
Tottenham,Premier League,England,Mauricio Pochettino,https://www.transfermarkt.com/mauricio-pochettino/profil/trainer/9044,"Mar 2, 1972",Argentina,Spain,2014-07-01,2019-11-19,1967,293,160,60,73
Manchester Utd,Premier League,England,Erik ten Hag,https://www.transfermarkt.com/erik-ten-hag/profil/trainer/3816,"Feb 2, 1970",Netherlands,,2022-07-01,,586,95,58,11,26
Manchester Utd,Premier League,England,Ole Gunnar Solskjaer,https://www.transfermarkt.com/ole-gunnar-solskjaer/profil/trainer/7286,"Feb 26, 1973",Norway,,2019-03-28,2021-11-21,969,149,78,33,38
Manchester Utd,Premier League,England,José Mourinho,https://www.transfermarkt.com/jose-mourinho/profil/trainer/781,"Jan 26, 1963",Portugal,,2016-07-01,2018-12-18,900,144,84,31,29
Arsenal,Premier League,England,Mikel Arteta,https://www.transfermarkt.com/mikel-arteta/profil/trainer/47620,"Mar 26, 1982",Spain,,2019-12-22,,1508,212,126,32,54
Arsenal,Premier League,England,Unai Emery,https://www.transfermarkt.com/unai-emery/profil/trainer/5075,"Nov 3, 1971",Spain,,2018-07-01,2019-11-29,516,78,43,15,20
Arsenal,Premier League,England,Arsène Wenger,https://www.transfermarkt.com/arsene-wenger/profil/trainer/280,"Oct 22, 1949",France,,1996-10-01,2018-06-30,7942,1234,715,267,252
Everton,Premier League,England,Frank Lampard,https://www.transfermarkt.com/frank-lampard/profil/trainer/60805,"Jun 20, 1978",England,,2022-01-31,2023-01-23,357,44,12,8,24
Everton,Premier League,England,Rafael Benítez,https://www.transfermarkt.com/rafael-benitez/profil/trainer/1522,"Apr 16, 1960",Spain,,2021-07-01,2022-01-16,199,22,7,4,11
Everton,Premier League,England,Carlo Ancelotti,https://www.transfermarkt.com/carlo-ancelotti/profil/trainer/523,"Jun 10, 1959",Italy,,2019-12-22,2021-06-30,556,67,31,14,22
Everton,Premier League,England,Marco Silva,https://www.transfermarkt.com/marco-silva/profil/trainer/19631,"Jul 12, 1977",Portugal,,2018-05-31,2019-12-05,553,60,24,11,25
Everton,Premier League,England,Sam Allardyce,https://www.transfermarkt.com/sam-allardyce/profil/trainer/445,"Oct 19, 1954",England,,2017-11-30,2018-05-16,167,26,10,7,9
West Ham,Premier League,England,David Moyes,https://www.transfermarkt.com/david-moyes/profil/trainer/450,"Apr 25, 1963",Scotland,,2019-12-29,,1501,211,98,38,75
West Ham,Premier League,England,Manuel Pellegrini,https://www.transfermarkt.com/manuel-pellegrini/profil/trainer/1558,"Sep 16, 1953",Chile,Italy,2018-07-01,2019-12-28,545,64,24,11,29
West Ham,Premier League,England,David Moyes,https://www.transfermarkt.com/david-moyes/profil/trainer/450,"Apr 25, 1963",Scotland,,2017-11-07,2018-05-16,190,31,9,10,12
Bournemouth,Premier League,England,Gary O'Neil,https://www.transfermarkt.com/gary-oneil/profil/trainer/82647,"May 18, 1983",England,,2022-11-28,2023-06-19,203,25,7,2,16
Bournemouth,Premier League,England,Scott Parker,https://www.transfermarkt.com/scott-parker/profil/trainer/54455,"Oct 13, 1980",England,,2021-07-01,2022-08-30,425,55,29,13,13
Bournemouth,Premier League,England,Jonathan Woodgate,https://www.transfermarkt.com/jonathan-woodgate/profil/trainer/48568,"Jan 22, 1980",England,,2021-02-04,2021-06-30,146,23,13,2,8
