date,league,team,result,days_in_post
2017-08-11,Premier League,Arsenal,win,7942
2017-08-12,Premier League,Chelsea,loss,742
2017-08-12,Premier League,Brighton,loss,1594
2017-08-13,Premier League,Newcastle Utd,loss,1206
2017-08-13,Premier League,Manchester Utd,win,900
2017-10-28,Premier League,Manchester Utd,win,900
2017-10-28,Premier League,Arsenal,win,7942
2017-10-28,Premier League,Crystal Palace,draw,1387
2017-10-28,Premier League,Liverpool,win,3188
2017-10-28,Premier League,Bournemouth,loss,2848
2017-10-29,Premier League,Brighton,draw,1594
2017-10-30,Premier League,Burnley,win,3454
2017-11-04,Premier League,Newcastle Utd,loss,1206
2017-11-05,Premier League,Tottenham,win,1967
2017-11-05,Premier League,Manchester City,win,2784
2017-11-05,Premier League,Chelsea,win,742
2017-11-18,Premier League,Arsenal,win,7942
2017-11-18,Premier League,Bournemouth,win,2848
2017-11-18,Premier League,Liverpool,win,3188
2017-11-18,Premier League,Burnley,win,3454
2017-11-18,Premier League,Crystal Palace,draw,1387
2017-11-18,Premier League,Manchester Utd,win,900
2017-11-20,Premier League,Brighton,draw,1594
2017-11-24,Premier League,West Ham,draw,190
2017-11-25,Premier League,Tottenham,draw,1967
2017-11-25,Premier League,Manchester Utd,win,900
2017-11-25,Premier League,Crystal Palace,win,1387
2017-11-25,Premier League,Newcastle Utd,loss,1206
2017-11-25,Premier League,Liverpool,draw,3188
2017-11-26,Premier League,Burnley,loss,3454
2017-11-28,Premier League,Brighton,draw,1594
2017-11-29,Premier League,Chelsea,win,742
2017-11-29,Premier League,Bournemouth,loss,2848
2017-11-29,Premier League,Arsenal,win,7942
2017-11-29,Premier League,Manchester City,win,2784
2017-12-02,Premier League,Chelsea,win,742
2017-12-02,Premier League,Brighton,loss,1594
2017-12-02,Premier League,Everton,win,167
2017-12-02,Premier League,Arsenal,loss,7942
2017-12-03,Premier League,Bournemouth,draw,2848
2017-12-03,Premier League,Manchester City,win,2784
2017-12-09,Premier League,West Ham,win,190
2017-12-09,Premier League,Crystal Palace,draw,1387
2017-12-09,Premier League,Tottenham,win,1967
2017-12-09,Premier League,Burnley,win,3454
2017-12-09,Premier League,Newcastle Utd,loss,1206
2017-12-10,Premier League,Liverpool,draw,3188
2017-12-10,Premier League,Manchester Utd,loss,900
2017-12-12,Premier League,Burnley,win,3454
2017-12-12,Premier League,Crystal Palace,win,1387
2017-12-13,Premier League,Newcastle Utd,loss,1206
2017-12-13,Premier League,Liverpool,draw,3188
2017-12-13,Premier League,West Ham,draw,190
2017-12-13,Premier League,Tottenham,win,1967
2017-12-13,Premier League,Manchester Utd,win,900
2017-12-16,Premier League,Arsenal,win,7942
2017-12-16,Premier League,Brighton,draw,1594
2017-12-16,Premier League,Chelsea,win,742
2017-12-16,Premier League,Manchester City,win,2784
2017-12-17,Premier League,Bournemouth,loss,2848
2017-12-18,Premier League,Everton,win,167
2017-12-22,Premier League,Arsenal,draw,7942
2017-12-23,Premier League,Everton,draw,167
2017-12-23,Premier League,Brighton,win,1594
2017-12-23,Premier League,Manchester City,win,2784
2017-12-23,Premier League,West Ham,loss,190
2017-12-23,Premier League,Burnley,loss,3454
2017-08-19,Premier League,Bournemouth,loss,2848
2017-08-19,Premier League,Burnley,loss,3454
2017-08-19,Premier League,Liverpool,win,3188
2017-08-20,Premier League,Tottenham,loss,1967
2017-08-21,Premier League,Manchester City,draw,2784
2017-12-26,Premier League,Tottenham,win,1967
2017-12-26,Premier League,Bournemouth,draw,2848
2017-12-26,Premier League,Manchester Utd,draw,900
2017-12-26,Premier League,Chelsea,win,742
2017-12-26,Premier League,Liverpool,win,3188
2017-12-27,Premier League,Newcastle Utd,loss,1206
2017-12-28,Premier League,Crystal Palace,loss,1387
2017-12-30,Premier League,Chelsea,win,742
2017-12-30,Premier League,Bournemouth,win,2848
2017-12-30,Premier League,Liverpool,win,3188
2017-12-30,Premier League,Newcastle Utd,draw,1206
2017-12-30,Premier League,Manchester Utd,draw,900
2017-12-31,Premier League,Crystal Palace,draw,1387
2018-01-04,Premier League,Tottenham,draw,1967
2018-01-01,Premier League,Brighton,draw,1594
2018-01-01,Premier League,Burnley,loss,3454
2018-01-01,Premier League,Everton,loss,167
2018-01-02,Premier League,West Ham,win,190
2018-01-02,Premier League,Manchester City,win,2784
2018-01-03,Premier League,Arsenal,draw,7942
2018-01-13,Premier League,Newcastle Utd,draw,1206
2018-01-13,Premier League,Crystal Palace,win,1387
2018-01-13,Premier League,Chelsea,draw,742
2018-01-13,Premier League,Tottenham,win,1967
2018-01-14,Premier League,Bournemouth,win,2848
2018-01-14,Premier League,Liverpool,win,3188
2018-01-15,Premier League,Manchester Utd,win,900
2018-01-20,Premier League,Brighton,loss,1594
2018-01-20,Premier League,Everton,draw,167
2018-01-20,Premier League,Arsenal,win,7942
2018-01-20,Premier League,West Ham,draw,190
2018-01-20,Premier League,Burnley,loss,3454
2018-01-20,Premier League,Manchester City,win,2784
2018-01-30,Premier League,West Ham,draw,190
2018-01-31,Premier League,Chelsea,loss,742
2018-01-31,Premier League,Everton,win,167
2018-01-31,Premier League,Newcastle Utd,draw,1206
2018-01-31,Premier League,Manchester City,win,2784
2018-01-31,Premier League,Tottenham,win,1967
2018-02-03,Premier League,Burnley,draw,3454
2018-02-03,Premier League,Bournemouth,win,2848
2018-02-03,Premier League,Manchester Utd,win,900
2018-02-03,Premier League,Brighton,win,1594
2018-02-03,Premier League,Arsenal,win,7942
2018-02-04,Premier League,Crystal Palace,draw,1387
2018-02-04,Premier League,Liverpool,draw,3188
2018-02-10,Premier League,Tottenham,win,1967
2018-02-10,Premier League,Everton,win,167
2018-02-10,Premier League,West Ham,win,190
