"League","Country","Season","Date","Home","HomeGoals","Away","AwayGoals"
"Premier League","ENG","2018","2017-08-11","Arsenal","4","Leicester City","3"
"Premier League","ENG","2018","2017-08-12","Watford","3","Liverpool","3"
"Premier League","ENG","2018","2017-08-12","Crystal Palace","0","Huddersfield","3"
"Premier League","ENG","2018","2017-08-12","West Brom","1","Bournemouth","0"
"Premier League","ENG","2018","2017-08-12","Chelsea","2","Burnley","3"
"Premier League","ENG","2018","2017-08-12","Everton","1","Stoke City","0"
"Premier League","ENG","2018","2017-08-12","Southampton","0","Swansea City","0"
"Premier League","ENG","2018","2017-08-12","Brighton","0","Manchester City","2"
"Premier League","ENG","2018","2017-08-13","Newcastle Utd","0","Tottenham","2"
"Premier League","ENG","2018","2017-08-13","Manchester Utd","4","West Ham","0"
"Premier League","ENG","2018","2017-10-28","Manchester Utd","1","Tottenham","0"
"Premier League","ENG","2018","2017-10-28","Arsenal","2","Swansea City","1"
"Premier League","ENG","2018","2017-10-28","Crystal Palace","2","West Ham","2"
"Premier League","ENG","2018","2017-10-28","Watford","0","Stoke City","1"
"Premier League","ENG","2018","2017-10-28","Liverpool","3","Huddersfield","0"
"Premier League","ENG","2018","2017-10-28","West Brom","2","Manchester City","3"
"Premier League","ENG","2018","2017-10-28","Bournemouth","0","Chelsea","1"
"Premier League","ENG","2018","2017-10-29","Brighton","1","Southampton","1"
"Premier League","ENG","2018","2017-10-29","Leicester City","2","Everton","0"
"Premier League","ENG","2018","2017-10-30","Burnley","1","Newcastle Utd","0"
"Premier League","ENG","2018","2017-11-04","Stoke City","2","Leicester City","2"
"Premier League","ENG","2018","2017-11-04","Southampton","0","Burnley","1"
"Premier League","ENG","2018","2017-11-04","Swansea City","0","Brighton","1"
"Premier League","ENG","2018","2017-11-04","Huddersfield","1","West Brom","0"
"Premier League","ENG","2018","2017-11-04","Newcastle Utd","0","Bournemouth","1"
"Premier League","ENG","2018","2017-11-04","West Ham","1","Liverpool","4"
"Premier League","ENG","2018","2017-11-05","Tottenham","1","Crystal Palace","0"
"Premier League","ENG","2018","2017-11-05","Manchester City","3","Arsenal","1"
"Premier League","ENG","2018","2017-11-05","Everton","3","Watford","2"
"Premier League","ENG","2018","2017-11-05","Chelsea","1","Manchester Utd","0"
"Premier League","ENG","2018","2017-11-18","Arsenal","2","Tottenham","0"
"Premier League","ENG","2018","2017-11-18","West Brom","0","Chelsea","4"
"Premier League","ENG","2018","2017-11-18","Bournemouth","4","Huddersfield","0"
"Premier League","ENG","2018","2017-11-18","Liverpool","3","Southampton","0"
"Premier League","ENG","2018","2017-11-18","Burnley","2","Swansea City","0"
"Premier League","ENG","2018","2017-11-18","Crystal Palace","2","Everton","2"
"Premier League","ENG","2018","2017-11-18","Leicester City","0","Manchester City","2"
"Premier League","ENG","2018","2017-11-18","Manchester Utd","4","Newcastle Utd","1"
"Premier League","ENG","2018","2017-11-19","Watford","2","West Ham","0"
"Premier League","ENG","2018","2017-11-20","Brighton","2","Stoke City","2"
"Premier League","ENG","2018","2017-11-24","West Ham","1","Leicester City","1"
"Premier League","ENG","2018","2017-11-25","Tottenham","1","West Brom","1"
"Premier League","ENG","2018","2017-11-25","Manchester Utd","1","Brighton","0"
"Premier League","ENG","2018","2017-11-25","Swansea City","0","Bournemouth","0"
"Premier League","ENG","2018","2017-11-25","Crystal Palace","2","Stoke City","1"
"Premier League","ENG","2018","2017-11-25","Newcastle Utd","0","Watford","3"
"Premier League","ENG","2018","2017-11-25","Liverpool","1","Chelsea","1"
