League,Country,Date,Team,Goals,Result,isHome,HeadCoach,DaysInPost
Premier League,England,2017-08-11,Arsenal,4.0,win,True,Arsène Wenger,7619.0
Premier League,England,2017-08-12,Chelsea,2.0,loss,True,Antonio Conte,407.0
Premier League,England,2017-08-12,Brighton,0.0,loss,True,Chris Hughton,955.0
Premier League,England,2017-08-13,Newcastle Utd,0.0,loss,True,Rafael Benítez,520.0
Premier League,England,2017-08-13,Manchester Utd,4.0,win,True,José Mourinho,408.0
Premier League,England,2017-10-28,Manchester Utd,1.0,win,True,José Mourinho,484.0
Premier League,England,2017-10-28,Arsenal,2.0,win,True,Arsène Wenger,7697.0
Premier League,England,2017-10-28,Crystal Palace,2.0,draw,True,Roy Hodgson,46.0
Premier League,England,2017-10-28,Liverpool,3.0,win,True,Jürgen Klopp,751.0
Premier League,England,2017-10-28,Bournemouth,0.0,loss,True,Eddie Howe,1840.0
Premier League,England,2017-10-29,Brighton,1.0,draw,True,Chris Hughton,1033.0
Premier League,England,2017-10-30,Burnley,1.0,win,True,Sean Dyche,1826.0
Premier League,England,2017-11-04,Newcastle Utd,0.0,loss,True,Rafael Benítez,603.0
Premier League,England,2017-11-05,Tottenham,1.0,win,True,Mauricio Pochettino,1223.0
Premier League,England,2017-11-05,Manchester City,3.0,win,True,Pep Guardiola,492.0
Premier League,England,2017-11-05,Chelsea,1.0,win,True,Antonio Conte,492.0
Premier League,England,2017-11-18,Arsenal,2.0,win,True,Arsène Wenger,7718.0
Premier League,England,2017-11-18,Bournemouth,4.0,win,True,Eddie Howe,1861.0
Premier League,England,2017-11-18,Liverpool,3.0,win,True,Jürgen Klopp,772.0
Premier League,England,2017-11-18,Burnley,2.0,win,True,Sean Dyche,1845.0
Premier League,England,2017-11-18,Crystal Palace,2.0,draw,True,Roy Hodgson,67.0
Premier League,England,2017-11-18,Manchester Utd,4.0,win,True,José Mourinho,505.0
Premier League,England,2017-11-20,Brighton,2.0,draw,True,Chris Hughton,1055.0
Premier League,England,2017-11-24,West Ham,1.0,draw,True,David Moyes,17.0
Premier League,England,2017-11-25,Tottenham,1.0,draw,True,Mauricio Pochettino,1243.0
Premier League,England,2017-11-25,Manchester Utd,1.0,win,True,José Mourinho,512.0
Premier League,England,2017-11-25,Crystal Palace,2.0,win,True,Roy Hodgson,74.0
Premier League,England,2017-11-25,Newcastle Utd,0.0,loss,True,Rafael Benítez,624.0
Premier League,England,2017-11-25,Liverpool,1.0,draw,True,Jürgen Klopp,779.0
Premier League,England,2017-11-26,Burnley,0.0,loss,True,Sean Dyche,1853.0
Premier League,England,2017-11-28,Brighton,0.0,draw,True,Chris Hughton,1063.0
Premier League,England,2017-11-29,Chelsea,1.0,win,True,Antonio Conte,516.0
Premier League,England,2017-11-29,Bournemouth,1.0,loss,True,Eddie Howe,1872.0
Premier League,England,2017-11-29,Arsenal,5.0,win,True,Arsène Wenger,7729.0
