date,league,team,result,days_in_post
2017-08-12,Premier League,Chelsea,loss,407
2017-08-12,Premier League,Brighton,loss,955
2017-08-13,Premier League,Newcastle Utd,loss,520
2017-08-13,Premier League,Manchester Utd,win,408
2017-10-28,Premier League,Manchester Utd,win,484
2017-10-28,Premier League,Crystal Palace,draw,46
2017-10-28,Premier League,Liverpool,win,751
2017-10-28,Premier League,Bournemouth,loss,1840
2017-10-29,Premier League,Brighton,draw,1033
2017-10-30,Premier League,Burnley,win,1826
2017-11-04,Premier League,Newcastle Utd,loss,603
2017-11-05,Premier League,Tottenham,win,1223
2017-11-05,Premier League,Manchester City,win,492
2017-11-05,Premier League,Chelsea,win,492
2017-11-18,Premier League,Bournemouth,win,1861
2017-11-18,Premier League,Liverpool,win,772
2017-11-18,Premier League,Burnley,win,1845
2017-11-18,Premier League,Crystal Palace,draw,67
2017-11-18,Premier League,Manchester Utd,win,505
2017-11-20,Premier League,Brighton,draw,1055
2017-11-24,Premier League,West Ham,draw,17
2017-11-25,Premier League,Tottenham,draw,1243
2017-11-25,Premier League,Manchester Utd,win,512
2017-11-25,Premier League,Crystal Palace,win,74
2017-11-25,Premier League,Newcastle Utd,loss,624
2017-11-25,Premier League,Liverpool,draw,779
2017-11-26,Premier League,Burnley,loss,1853
2017-11-28,Premier League,Brighton,draw,1063
2017-11-29,Premier League,Chelsea,win,516
2017-11-29,Premier League,Bournemouth,loss,1872
2017-11-29,Premier League,Manchester City,win,516
2017-12-02,Premier League,Chelsea,win,519
2017-12-02,Premier League,Brighton,loss,1067
2017-12-02,Premier League,Everton,win,2
2017-12-03,Premier League,Bournemouth,draw,1876
2017-12-03,Premier League,Manchester City,win,520
2017-12-09,Premier League,West Ham,win,32
2017-12-09,Premier League,Crystal Palace,draw,88
2017-12-09,Premier League,Tottenham,win,1257
2017-12-09,Premier League,Burnley,win,1866
2017-12-09,Premier League,Newcastle Utd,loss,638
2017-12-10,Premier League,Liverpool,draw,794
2017-12-10,Premier League,Manchester Utd,loss,527
2017-12-12,Premier League,Burnley,win,1869
2017-12-12,Premier League,Crystal Palace,win,91
2017-12-13,Premier League,Newcastle Utd,loss,642
